epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,15861.3,0.86181,0.54288,1.19395,0.95726,0.91702,0.95415,0.71201,1.05306,0.49848,1.18007,0.00019808,0.00019808,0.00019808
116,15996.8,0.85944,0.532,1.19808,0.96218,0.9291,0.95538,0.6826,1.1485,0.50607,1.24255,0.0001928,0.0001928,0.0001928
117,16132.8,0.87748,0.51945,1.1805,0.99604,0.89031,0.95546,0.74343,0.93518,0.45607,1.11428,0.00018752,0.00018752,0.00018752
118,16269.1,0.86801,0.53349,1.20408,0.95434,0.92645,0.95544,0.69938,1.10419,0.49707,1.22307,0.00018224,0.00018224,0.00018224
119,16414,0.86239,0.53025,1.19141,0.95086,0.93689,0.95977,0.71741,1.05449,0.46645,1.17025,0.00017696,0.00017696,0.00017696
120,16556.2,0.8639,0.55634,1.21893,0.97347,0.91997,0.95604,0.71855,1.03785,0.45983,1.17601,0.00017168,0.00017168,0.00017168
121,16698.6,0.81151,0.50344,1.17387,0.96212,0.93622,0.95708,0.71192,1.0734,0.45881,1.21832,0.0001664,0.0001664,0.0001664
122,16835.1,0.8373,0.51046,1.17513,0.98025,0.91877,0.95284,0.70167,1.09701,0.47298,1.23144,0.00016112,0.00016112,0.00016112
123,16970.8,0.84909,0.50928,1.18848,0.96692,0.92688,0.95459,0.69968,1.10475,0.48237,1.22575,0.00015584,0.00015584,0.00015584
124,17106.8,0.84174,0.50885,1.16979,0.98436,0.92166,0.95625,0.6823,1.18669,0.49417,1.26711,0.00015056,0.00015056,0.00015056
125,17244.6,0.86933,0.53111,1.21116,0.96995,0.92776,0.95488,0.68092,1.16518,0.48884,1.24994,0.00014528,0.00014528,0.00014528
126,17380.8,0.82665,0.51104,1.16754,0.96725,0.92247,0.95409,0.72487,1.00768,0.47181,1.16264,0.00014,0.00014,0.00014
127,17517.4,0.81694,0.51241,1.16464,0.96916,0.92321,0.9478,0.71142,1.04934,0.49176,1.19468,0.00013472,0.00013472,0.00013472
128,17653.8,0.8407,0.52407,1.17538,0.96733,0.91147,0.9577,0.72764,1.00279,0.46445,1.17216,0.00012944,0.00012944,0.00012944
129,17794.4,0.81961,0.50988,1.18062,0.95894,0.92659,0.9626,0.71679,1.06272,0.46065,1.20145,0.00012416,0.00012416,0.00012416
130,17937.2,0.79107,0.47044,1.15849,0.96485,0.94092,0.96192,0.71894,1.03692,0.45071,1.17435,0.00011888,0.00011888,0.00011888
131,18073.1,0.79843,0.47864,1.16589,0.97287,0.92378,0.96213,0.74021,0.95267,0.44798,1.13029,0.0001136,0.0001136,0.0001136
132,18209,0.81686,0.49407,1.1637,0.96775,0.92424,0.96124,0.70786,1.07519,0.46771,1.20007,0.00010832,0.00010832,0.00010832
133,18344.6,0.80127,0.5003,1.14076,0.96598,0.93217,0.96116,0.73962,0.97529,0.44051,1.15446,0.00010304,0.00010304,0.00010304
134,18483.6,0.81,0.49757,1.15494,0.97109,0.93815,0.96128,0.7581,0.92036,0.43523,1.11182,9.776e-05,9.776e-05,9.776e-05
135,18619.6,0.78657,0.4894,1.15395,0.96565,0.94406,0.96117,0.72725,1.03237,0.45462,1.16739,9.248e-05,9.248e-05,9.248e-05
136,18755.3,0.78184,0.47042,1.14329,0.97994,0.94034,0.96198,0.72497,1.04691,0.45934,1.18703,8.72e-05,8.72e-05,8.72e-05
137,18891,0.80563,0.48244,1.1622,0.9724,0.93407,0.96041,0.7105,1.08057,0.47076,1.2097,8.192e-05,8.192e-05,8.192e-05
138,19027.5,0.78464,0.46646,1.14172,0.98091,0.94101,0.96321,0.7204,1.06417,0.44856,1.19904,7.664e-05,7.664e-05,7.664e-05
139,19163.1,0.7684,0.46396,1.13272,0.97546,0.94072,0.9644,0.71722,1.09197,0.46978,1.21033,7.136e-05,7.136e-05,7.136e-05
140,19298.8,0.79083,0.48812,1.15651,0.97598,0.92354,0.96186,0.72908,1.01925,0.45918,1.16861,6.608e-05,6.608e-05,6.608e-05
141,19443.8,0.66934,0.34526,1.08599,0.96158,0.94218,0.96375,0.70841,1.09423,0.4373,1.2255,6.08e-05,6.08e-05,6.08e-05
142,19579,0.64427,0.3402,1.06128,0.96531,0.93577,0.96539,0.72407,1.04709,0.42065,1.20111,5.552e-05,5.552e-05,5.552e-05
143,19715,0.64069,0.33413,1.06563,0.97911,0.92555,0.96318,0.71773,1.0621,0.4257,1.21596,5.024e-05,5.024e-05,5.024e-05
144,19849.8,0.64065,0.33245,1.0457,0.97601,0.92588,0.96301,0.72218,1.05329,0.42066,1.20931,4.496e-05,4.496e-05,4.496e-05
145,19984.7,0.64357,0.32957,1.05682,0.97304,0.93092,0.96302,0.71031,1.08404,0.42488,1.23187,3.968e-05,3.968e-05,3.968e-05
146,20119.7,0.62248,0.33706,1.04561,0.97731,0.93064,0.96382,0.73414,1.02206,0.41513,1.1942,3.44e-05,3.44e-05,3.44e-05
147,20254.3,0.64506,0.33065,1.05402,0.97061,0.93095,0.96296,0.72161,1.05816,0.42248,1.2142,2.912e-05,2.912e-05,2.912e-05
148,20389.3,0.62877,0.32445,1.04461,0.96505,0.93125,0.96322,0.72923,1.03617,0.41652,1.19523,2.384e-05,2.384e-05,2.384e-05
149,20524.7,0.65035,0.329,1.07196,0.96114,0.93965,0.96294,0.70241,1.11645,0.43054,1.24844,1.856e-05,1.856e-05,1.856e-05
150,20665.3,0.62425,0.32396,1.04399,0.96733,0.93512,0.96387,0.73178,1.02505,0.41687,1.18623,1.328e-05,1.328e-05,1.328e-05
